Ns3 X,Ns3 Y,Ns2 X,Ns2 Y,N5.6x6 X,N5.6x6 Y,N.25x1 X,N.25x1 Y,Ps2 X,Ps2 Y,Ps3 X,Ps3 Y,P3x1 X,P3x1 Y,P.5x2 X,P.5x2 Y,P2x1 X,P2x1 Y,P1.92x1 X,P1.92x1 Y,P1x3 X,P1x3 Y,P.25x20 X,P.25x20 Y,Ps.5 X,Ps.5 Y,P1x2 X,P1x2 Y,CA_P X,CA_P Y,CA_N X,CA_N Y,Ps.25 X,Ps.25 Y,Ns.3 X,Ns.3 Y,P2x.3 X,P2x.3 Y,N1.92x1 X,N1.92x1 Y,N2x1 X,N2x1 Y
1e-13,1.000040201293587,1e-13,0.9999592421730027,1e-13,0.875174985580263,1e-13,0.9998971567963373,1e-13,0.9999977635396855,1e-13,0.9999977322212412,1e-13,0.9999969869520682,1e-13,1.000002618933973,1e-13,18.00001430413067,1e-13,18.00001482525623,1e-13,0.9999998737324308,1e-13,1.000777388477493,1e-13,0.9999987907309168,1e-13,0.9999988616403107,1e-13,3.267859456288962,1e-13,0.5121672004219623,1e-13,1.000013119247529,1e-13,0.9998752285042288,1e-13,0.99999697878025,1e-13,0.9998769417516629,1e-13,0.9998768756892253
1.445439770745928e-13,1.000040893681457,1.445439770745928e-13,0.9999581833312911,1.445439770745928e-13,0.875164329466724,1.445439770745928e-13,0.9999067795821971,1.445439770745928e-13,0.9999962910613711,1.445439770745928e-13,0.9999962391244548,1.445439770745928e-13,0.99999500317541,1.445439770745928e-13,1.000004293651697,1.445439770745928e-13,12.452973888167,1.445439770745928e-13,12.45297448606132,1.445439770745928e-13,0.9999997891013883,1.445439770745928e-13,1.001255833012992,1.445439770745928e-13,0.9999979756718075,1.445439770745928e-13,0.9999981110926263,1.445439770745928e-13,3.267856036656335,1.445439770745928e-13,0.5121757784511108,1.445439770745928e-13,1.000021043617612,1.445439770745928e-13,0.9999047208374684,1.445439770745928e-13,0.9999949896303567,1.445439770745928e-13,0.9998731516715977,1.445439770745928e-13,0.9998730420934852
2.08929613085404e-13,1.000042776731212,2.08929613085404e-13,0.9999553146442631,2.08929613085404e-13,0.8751360772079816,2.08929613085404e-13,0.9999326186626897,2.08929613085404e-13,0.9999923223776378,2.08929613085404e-13,0.9999922148721964,2.08929613085404e-13,0.9999896564231485,2.08929613085404e-13,1.000008741244806,2.08929613085404e-13,8.615365165229118,2.08929613085404e-13,8.615366021464913,2.08929613085404e-13,0.9999995589777357,2.08929613085404e-13,1.00250332220998,2.08929613085404e-13,0.9999957536788729,2.08929613085404e-13,0.9999960867592641,2.08929613085404e-13,3.267839540338386,2.08929613085404e-13,0.5121985223134946,2.08929613085404e-13,1.000041503517969,2.08929613085404e-13,0.9999817531380224,2.08929613085404e-13,0.9999896283878088,2.08929613085404e-13,0.9998627778901222,2.08929613085404e-13,0.9998625512912556
3.019951720402016e-13,1.000049526793915,3.019951720402016e-13,0.9999450862114279,3.019951720402016e-13,0.8750383760651234,3.019951720402016e-13,1.000023624880193,3.019951720402016e-13,0.999978299080358,3.019951720402016e-13,0.9999779952414787,3.019951720402016e-13,0.9999707637555462,3.019951720402016e-13,1.000024119851965,3.019951720402016e-13,5.960406147731375,3.019951720402016e-13,5.960407822051433,3.019951720402016e-13,0.9999987354731836,3.019951720402016e-13,1.006704255424733,3.019951720402016e-13,0.999987773906049,3.019951720402016e-13,0.9999889264887409,3.019951720402016e-13,3.267781243863522,3.019951720402016e-13,0.5122771929936002,3.019951720402016e-13,1.000109373526977,3.019951720402016e-13,1.000242377732699,3.019951720402016e-13,0.99997068445958,3.019951720402016e-13,0.9998252863772809,3.019951720402016e-13,0.9998246470043102
4.365158322401659e-13,1.000084751221697,4.365158322401659e-13,0.99989209797255,4.365158322401659e-13,0.874553211902495,4.365158322401659e-13,1.000487451386702,4.365158322401659e-13,0.9999059332598426,4.365158322401659e-13,0.9999046164040827,4.365158322401659e-13,0.9998732701723932,4.365158322401659e-13,1.000101000841446,4.365158322401659e-13,4.123699620168485,4.365158322401659e-13,4.123704641545041,4.365158322401659e-13,0.999994408918181,4.365158322401659e-13,1.026930054266818,4.365158322401659e-13,0.9999456500631789,4.365158322401659e-13,0.9999519223209999,4.365158322401659e-13,3.267480359742262,4.365158322401659e-13,0.5126681497365185,4.365158322401659e-13,1.000428558280404,4.365158322401659e-13,1.001495968942152,4.365158322401659e-13,0.9998729255937705,4.365158322401659e-13,0.9996277207519713,4.365158322401659e-13,0.9996249753445249
6.309573444801932e-13,1.000351489699677,6.309573444801932e-13,0.9994945163319966,6.309573444801932e-13,0.8711052031496372,6.309573444801932e-13,1.003899888534335,6.309573444801932e-13,0.9992873737924244,6.309573444801932e-13,0.9992774002052529,6.309573444801932e-13,0.9990399282856457,6.309573444801932e-13,1.000728600474524,6.309573444801932e-13,2.853530893979545,6.309573444801932e-13,2.853557235422583,6.309573444801932e-13,0.9999564999351518,6.309573444801932e-13,1.183620248667455,6.309573444801932e-13,0.9995743065146504,6.309573444801932e-13,0.9996349673931372,6.309573444801932e-13,3.264907900873464,6.309573444801932e-13,0.5154514307799958,6.309573444801932e-13,1.002810482171006,6.309573444801932e-13,1.010020835132592,6.309573444801932e-13,0.9990372956552649,6.309573444801932e-13,0.9981163037545319,6.309573444801932e-13,0.9980980612730239
9.120108393559097e-13,1.001915826158734,9.120108393559097e-13,0.9971831410271744,9.120108393559097e-13,0.8520767071881219,9.120108393559097e-13,1.02339770304038,9.120108393559097e-13,0.990439219916737,9.120108393559097e-13,0.9903054929014623,9.120108393559097e-13,0.9871194498086295,9.120108393559097e-13,1.009156891091048,9.120108393559097e-13,1.980467834573696,9.120108393559097e-13,1.980715791019414,9.120108393559097e-13,0.9993969389313404,9.120108393559097e-13,3.150033562634603,9.120108393559097e-13,0.9940517403561104,9.120108393559097e-13,0.9950888013132982,9.120108393559097e-13,3.228100992382569,9.120108393559097e-13,0.5305181492995854,9.120108393559097e-13,1.030988049402491,9.120108393559097e-13,1.054895551231608,9.120108393559097e-13,0.98708289551174,9.120108393559097e-13,0.9891820883226938,9.120108393559097e-13,0.9890752702129753
1.318256738556407e-12,1.005763281365593,1.318256738556407e-12,0.9915339334123711,1.318256738556407e-12,0.8072376833590195,1.318256738556407e-12,1.070524880472921,1.318256738556407e-12,0.9250455746769167,1.318256738556407e-12,0.9239984751800159,1.318256738556407e-12,0.8990192707383199,1.318256738556407e-12,1.067850604347328,1.318256738556407e-12,1.406711355181755,1.318256738556407e-12,1.408214970309726,1.318256738556407e-12,0.9951516479014856,1.318256738556407e-12,16.04155889600109,1.318256738556407e-12,0.9518349586630565,1.318256738556407e-12,0.961410000644112,1.318256738556407e-12,2.956112272110097,1.318256738556407e-12,0.5610964977065026,1.318256738556407e-12,1.203807390961509,1.318256738556407e-12,1.156577193858095,1.318256738556407e-12,0.8987069944009466,1.318256738556407e-12,0.9670982136733547,1.318256738556407e-12,0.9667768322206017
1.905460717963247e-12,1.011383058406799,1.905460717963247e-12,0.9833191703782186,1.905460717963247e-12,0.7435513608283788,1.905460717963247e-12,1.138587139968529,1.905460717963247e-12,0.8190501811657011,1.905460717963247e-12,0.8165255047215879,1.905460717963247e-12,0.7562188554322453,1.905460717963247e-12,1.159078820954863,1.905460717963247e-12,1.029902187227273,1.905460717963247e-12,1.033008648545455,1.905460717963247e-12,0.9881615304188877,1.905460717963247e-12,35.26519746875275,1.905460717963247e-12,0.8818412642386833,1.905460717963247e-12,0.9067380869600706,1.905460717963247e-12,2.515677134037476,1.905460717963247e-12,0.6043255173769919,1.905460717963247e-12,1.447410788092003,1.905460717963247e-12,1.296257832135841,1.905460717963247e-12,0.7553972247486727,1.905460717963247e-12,0.9347257307434368,1.905460717963247e-12,0.9340931755555127
2.754228703338166e-12,1.018053065114989,2.754228703338166e-12,0.9736042348388761,2.754228703338166e-12,0.6923487287885489,2.754228703338166e-12,1.218707777798544,2.754228703338166e-12,0.7169311766225086,2.754228703338166e-12,0.7129865288919086,2.754228703338166e-12,0.6186402190810832,2.754228703338166e-12,1.244133303317861,2.754228703338166e-12,0.7730864054280078,2.754228703338166e-12,0.7774436474107542,2.754228703338166e-12,0.9813586010164174,2.754228703338166e-12,52.61554122057947,2.754228703338166e-12,0.8132307562407243,2.754228703338166e-12,0.8540101180136859,2.754228703338166e-12,2.092172224289395,2.754228703338166e-12,0.663214643115131,2.754228703338166e-12,1.656184869721287,2.754228703338166e-12,1.453632202680019,2.754228703338166e-12,0.6172492654656528,2.754228703338166e-12,0.8961818099325461,2.754228703338166e-12,0.895180738380511
