0,76,13,436
0,47,62,511
0,186,5,503
0,153,63,509
0,1,20,502
0,161,49,501
0,140,28,508
0,127,51,500
0,94,12,510
0,26,24,1014
0,64,58,382
0,9,48,508
0,107,14,1023
0,111,29,498
0,139,45,373
0,195,15,510
0,133,54,381
0,93,40,374
2,139,26,1771
2,90,3,1768
2,60,61,1769
2,102,31,1768
2,127,17,1256
2,128,23,1769
2,196,4,1258
2,149,24,1257
2,46,8,1256
2,235,28,1768
2,58,62,1769
2,87,18,1256
2,64,5,1771
2,2,21,1915
2,179,33,1769
2,59,58,1258
2,222,4,1768
2,204,9,1769
2,237,39,1256
2,18,43,1768
2,120,50,1259
2,76,21,1769
2,185,45,1770
