fine_value,U_N_0,U_N_1,U_N_2,U_N_3,U_N_4,U_N_5,U_P_0,U_P_1,U_P_2,U_P_3,U_P_4,U_P_5,V_N_0,V_N_1,V_N_2,V_N_3,V_N_4,V_N_5,V_P_0,V_P_1,V_P_2,V_P_3,V_P_4,V_P_5,,DAC nmos0 U offset form ideal,,,DAC nmos5 U offset form ideal
231,6.47307774919276E-11,5.16415371634188E-10,4.11510035831907E-09,3.27378685499033E-08,2.6081326553841E-07,2.057658879518E-06,6.03437584200916E-11,4.83457751268715E-10,3.8729252311572E-09,3.09605819704641E-08,2.48939387113528E-07,2.02717607127974E-06,0.26462100551707,0.344444792914103,0.427829619785838,0.519060593138673,0.623173772436795,0.762153215916528,1.4660976670855,1.38864477324296,1.30706493745453,1.21700821623184,1.11206441479001,0.955231601251902,,-0.47%,,,-0.24%
230,6.44096570018363E-11,5.1389682524953E-10,4.09359550726238E-09,3.25682558022251E-08,2.59408453940036E-07,2.04708071207066E-06,6.0043516051214E-11,4.8107865967202E-10,3.85260804726345E-09,3.07994149842184E-08,2.47580187664374E-07,2.01662839757214E-06,0.264431798344547,0.344251699500942,0.427611280582378,0.518818361464346,0.622876997851029,0.761702811765888,1.46628119808592,1.38884305100296,1.30727996607458,1.21724858418902,1.11237803903246,0.955775813914378,,-0.54%,,,-0.32%
229,6.41108716424756E-11,5.11492834404772E-10,4.07414427522402E-09,3.24093229902679E-08,2.58113659519675E-07,2.03758897888569E-06,5.9763966530943E-11,4.7881982648234E-10,3.83425547235145E-09,3.06487588850748E-08,2.4633141507078E-07,2.00707688330313E-06,0.26425541812201,0.344069001882846,0.427412844945228,0.518590303977624,0.622602213705494,0.761297374106992,1.46645218985497,1.38902123351007,1.30747513165882,1.21747434299325,1.11266475693259,0.956269402462713,,-0.57%,,,-0.35%
228,6.37914582656559E-11,5.08988888104463E-10,4.05360033733982E-09,3.22392667409909E-08,2.56708876640369E-07,2.02700993709534E-06,5.94638140174425E-11,4.76389002374216E-10,3.81486329504379E-09,3.04875747771127E-08,2.44985358953463E-07,1.99645790426563E-06,0.264065346192772,0.343877088198501,0.427202276326272,0.518345118249531,0.622302715819368,0.760844041540715,1.46663307128194,1.38921001805154,1.30768232000885,1.21771703117094,1.11297432989302,0.956819447538256,,-0.63%,,,-0.44%
227,6.35026332022222E-11,5.06662715584228E-10,4.03581764196698E-09,3.20968120498407E-08,2.55593804201424E-07,2.01915098440941E-06,5.92127818460918E-11,4.74370677246891E-10,3.79808515050691E-09,3.03526586310651E-08,2.43900110363564E-07,1.98864862234174E-06,0.263905122271447,0.343705803920746,0.42701918417189,0.518138790881293,0.622063957581821,0.760506260760407,1.46679188223427,1.38937440896995,1.30786238960708,1.21792109398036,1.11322719469582,0.957227091386322,,-0.65%,,,-0.39%
226,6.32025350681466E-11,5.04082222997919E-10,4.01528227185394E-09,3.19267630872097E-08,2.54188230045974E-07,2.00857032880627E-06,5.89126432788877E-11,4.7193491468362E-10,3.77870904690069E-09,3.01914788443145E-08,2.42557971717245E-07,1.9780150618514E-06,0.263712954996262,0.343511704745588,0.426806788181217,0.517891366932409,0.621761690372442,0.760050122264111,1.46697463584028,1.38956586744889,1.30807128530179,1.21816599709606,1.11353812018566,0.957780350865198,,-0.69%,,,-0.47%
225,6.28998142039081E-11,5.01808458169099E-10,3.99581944711152E-09,3.17673731648464E-08,2.52894288093636E-07,1.99907533845912E-06,5.86330389287621E-11,4.69735441023873E-10,3.76034192557421E-09,3.00406001012631E-08,2.41306328278667E-07,1.96855325338552E-06,0.263530853124415,0.343322901247346,0.426604524650154,0.517658324957859,0.62148212828541,0.759639454068026,1.46715320739498,1.38974726964213,1.30827024587847,1.21839636012091,1.11383187540735,0.958276277320348,,-0.72%,,,-0.51%
224,6.25644223123268E-11,4.99227137250782E-10,3.97527549073243E-09,3.15977289464207E-08,2.51490389935223E-07,1.98849187969598E-06,5.83330203478806E-11,4.67123331276957E-10,3.74096069005081E-09,2.98798847638788E-08,2.39958158066363E-07,1.95792857735839E-06,0.263337691227671,0.343127716595934,0.426390001161559,0.517409079944586,0.621177383696298,0.759180219677283,1.46733725015627,1.38993508963058,1.3084811967074,1.21864293630841,1.1141471959192,0.958832833450396,,-0.82%,,,-0.59%
223,6.25967191451721E-11,4.99510804812699E-10,3.98051249691591E-09,3.16975009998254E-08,2.52829293566687E-07,1.99301648404026E-06,5.83633730706992E-11,4.67583933221717E-10,3.74588954673276E-09,2.9974444094486E-08,2.41275717663109E-07,1.96251863757092E-06,0.263356081345962,0.343149196143967,0.426444787368152,0.517555819109776,0.621468052782008,0.759376819286623,1.46731904160917,1.38992131530589,1.30842745123613,1.21849770950749,1.11383657078834,0.958593251159456,,-0.32%,,,0.08%
222,6.22767026949228E-11,4.96929716198449E-10,3.95996113215746E-09,3.15278427147405E-08,2.51425105273864E-07,1.98243232377024E-06,5.80892000529979E-11,4.65204271695628E-10,3.72650933204091E-09,2.98141661545974E-08,2.3989479768395E-07,1.95203053880975E-06,0.263162460547177,0.342947977819594,0.426229395235897,0.51730603560337,0.621163175965422,0.758916527043448,1.46749146983594,1.39010989413582,1.30863916708721,1.21874412242587,1.11416211386223,0.959143102005241,,-0.38%,,,-0.01%
221,6.19904727298453E-11,4.94572046843268E-10,3.94050550977639E-09,3.13684687190811E-08,2.50129599691948E-07,1.97293501460969E-06,5.77837020010059E-11,4.62948039583541E-10,3.70815590259581E-09,2.96630427315435E-08,2.38643325098796E-07,1.94244233130387E-06,0.262977656471884,0.342756233282585,0.426024499951839,0.517070239943351,0.620880565162002,0.758502204912084,1.46768859049943,1.39029870715051,1.30884063395214,1.21897759986307,1.11445864964821,0.959649509106499,,-0.39%,,,-0.04%
220,6.16711344070061E-11,4.92074099343805E-10,3.91996172221903E-09,3.11992734870284E-08,2.48722942797448E-07,1.96234869274074E-06,5.7459585909458E-11,4.60721491321819E-10,3.68876427494144E-09,2.95019397956647E-08,2.37295923839588E-07,1.93178810532458E-06,0.262781821708497,0.342558388363736,0.425807091912252,0.516818678232238,0.620572244798326,0.758038839598642,1.4678750131016,1.39047665708175,1.30905453055052,1.21922772490077,1.11477662741787,0.960211985502633,,-0.46%,,,-0.12%
219,6.1390591986974E-11,4.89714289107122E-10,3.90218227021897E-09,3.10564148769173E-08,2.476100788652E-07,1.95448634726124E-06,5.72325920388899E-11,4.58624792630314E-10,3.6719874616166E-09,2.93665290737755E-08,2.36228663915612E-07,1.92392758882821E-06,0.262614375370616,0.342379759795245,0.425618056462067,0.516605273758175,0.620327230458321,0.757693600539286,1.46803836144098,1.3906537981295,1.30924044979232,1.21943895208719,1.11503225429339,0.960630319277421,,-0.46%,,,-0.07%
218,6.10762479125919E-11,4.87330211405536E-10,3.88164223990779E-09,3.08865270963266E-08,2.46205126661028E-07,1.94389859144445E-06,5.69272987848059E-11,4.55844580937099E-10,3.65260653873245E-09,2.92058482809213E-08,2.3486954197905E-07,1.91332452891927E-06,0.262413729730014,0.34218065685963,0.42539864154916,0.516350288337917,0.620016519582623,0.757227286845009,1.46822712784794,1.39086190767177,1.3094562364261,1.21969078462769,1.11535545659502,0.961192704862247,,-0.52%,,,-0.16%
217,6.0779582386666E-11,4.84887500096604E-10,3.86218693607948E-09,3.0727364293335E-08,2.44910469446148E-07,1.93439860803466E-06,5.66530085370068E-11,4.53861234330931E-10,3.63423615300749E-09,2.9054939004302E-08,2.33618484251192E-07,1.903834049371E-06,0.262228349142511,0.341984855456934,0.425189787442277,0.516110201179847,0.619728814848259,0.756807416499973,1.46841361183592,1.39104949851261,1.3096617799601,1.21992848684202,1.11565733633285,0.961699928538556,,-0.55%,,,-0.19%
216,6.04555630052904E-11,4.82394375045523E-10,3.84163866354262E-09,3.05573399770228E-08,2.43505476324113E-07,1.92380915890772E-06,5.63476212717857E-11,4.51673035775409E-10,3.61486421624299E-09,2.88941303918611E-08,2.32271257003604E-07,1.89326684340543E-06,0.262025828749292,0.341783709452372,0.424968104572988,0.515852435331194,0.619415070049927,0.756337816192731,1.4686021524387,1.39122725181232,1.3098796035712,1.22018305782288,1.11598099443697,0.96226438420604,,-0.62%,,,-0.28%
215,6.02453664366198E-11,4.8039795893666E-10,3.82704037228909E-09,3.0446921068602E-08,2.42742028414623E-07,1.91868316219752E-06,5.61472928096812E-11,4.49741237357204E-10,3.60109540303834E-09,2.87893976869472E-08,2.31533363439653E-07,1.88813297462267E-06,0.26189271773837,0.341629807442504,0.424809922163305,0.515684311390009,0.619243916886582,0.756109871715754,1.46874283567907,1.3913781538693,1.31003510052378,1.22034957138717,1.11616137166247,0.9625411851014,,-0.51%,,,-0.08%
214,5.99196568224408E-11,4.7800157441451E-10,3.80649666027239E-09,3.02770993084239E-08,2.41335287217123E-07,1.90809150849212E-06,5.58472344577115E-11,4.47585321949628E-10,3.58170398325475E-09,2.86286219225385E-08,2.30184556501862E-07,1.87753457156683E-06,0.261687601994335,0.341427027799685,0.424586336478056,0.515424618711766,0.618927300067202,0.755637638620908,1.46893391441605,1.39157412199122,1.31025505832012,1.2206062946618,1.11648752968716,0.963109614597174,,-0.59%,,,-0.17%
213,5.9617188666786E-11,4.75557277079313E-10,3.78704784598957E-09,3.0117864953847E-08,2.40042261328183E-07,1.89858874993087E-06,5.55676402457078E-11,4.45107712259302E-10,3.56333638683779E-09,2.84776238810169E-08,2.28935146083685E-07,1.86799491937846E-06,0.261495135352049,0.341227409095247,0.424373600567307,0.515179869534413,0.618634837639604,0.755212430092956,1.46912313978457,1.391786656791,1.31046445065361,1.22084863788423,1.11679415912632,0.963625172740581,,-0.63%,,,-0.21%
212,5.93006825696987E-11,4.73033898843303E-10,3.76649359920063E-09,2.99480173018076E-08,2.3863777378892E-07,1.88799597968932E-06,5.52676482759281E-11,4.4289716819791E-10,3.54396106245299E-09,2.83169210319134E-08,2.27586350087292E-07,1.8573676609763E-06,0.261292522797893,0.341020198788184,0.424147633933808,0.514917462961805,0.618315584372159,0.754736832195355,1.4693162733886,1.39196922818767,1.31068644764191,1.22110788266155,1.1171236330016,0.964199160808445,,-0.69%,,,-0.30%
211,5.90453334669577E-11,4.70647892048663E-10,3.74871316951645E-09,2.98051551061411E-08,2.37522087263906E-07,1.88012913615348E-06,5.50165185851774E-11,4.4065763274095E-10,3.52720247355471E-09,2.81815455537109E-08,2.26520588608394E-07,1.84955453947713E-06,0.261128630838257,0.340833645280905,0.423951207808929,0.514695662137975,0.618060793480999,0.75438243852857,1.46948798509681,1.3921579349422,1.31087939665423,1.22132734132995,1.11738820244131,0.96462480606292,,-0.65%,,,-0.25%
210,5.87052319525156E-11,4.68296453903313E-10,3.72817200805103E-09,2.96355257185524E-08,2.36117559290056E-07,1.86953414919516E-06,5.47162806853443E-11,4.38278838746838E-10,3.50781728751632E-09,2.80208166322044E-08,2.2516135465347E-07,1.83889200546379E-06,0.260909291846189,0.340627346829959,0.423723169942598,0.514431002358828,0.617738531728239,0.753903632951332,1.46968371129508,1.39236487119766,1.31110367850029,1.22158918685509,1.11772286093103,0.96520350483941,,-0.76%,,,-0.34%
209,5.84064872690886E-11,4.65870680599768E-10,3.70871236019864E-09,2.94761064865378E-08,2.34821996680672E-07,1.86002936367275E-06,5.44367005998231E-11,4.3602213518663E-10,3.48943466087976E-09,2.786987710206E-08,2.23913878973969E-07,1.82939936708628E-06,0.260715915804098,0.340425388155958,0.423506026595788,0.514180971386819,0.617439765716978,0.753472514542056,1.46987711881029,1.39256707493496,1.31131745373924,1.22183636881683,1.11803493887363,0.96572295386876,,-0.79%,,,-0.37%
208,5.80851777463518E-11,4.63356886305998E-10,3.68816574836453E-09,2.93064333889733E-08,2.33416827013535E-07,1.8494334610391E-06,5.41367745222172E-11,4.33644075693096E-10,3.47006174397641E-09,2.77091081367734E-08,2.22560330358628E-07,1.81875550272408E-06,0.260506222773732,0.340214161228894,0.42327556742369,0.513913457960518,0.617114071230039,0.752990204759218,1.47007369138387,1.39276652152295,1.31154390889422,1.22210103105478,1.11837114266577,0.966304942924057,,-0.87%,,,-0.47%
207,5.79519023406846E-11,4.62096026333768E-10,3.6800048319482E-09,2.92632912928572E-08,2.33365772015781E-07,1.84857054539349E-06,5.40126594585008E-11,4.3260684179736E-10,3.46236507594772E-09,2.7668623315633E-08,2.22515794790901E-07,1.8179442486183E-06,0.26042518794074,0.34011914195125,0.4231836901053,0.513845206234986,0.617102204928497,0.752950874306112,1.47014551631946,1.39286488546638,1.31163421158385,1.22216790503865,1.11838072525965,0.966349904714201,,-0.62%,,,-0.03%
206,5.7631138656208E-11,4.59698781153444E-10,3.65945999282399E-09,2.90937706452196E-08,2.31961567326298E-07,1.83797344104407E-06,5.37125017976006E-11,4.30177857634515E-10,3.44298002281422E-09,2.75074124965688E-08,2.21161275887189E-07,1.80730077582751E-06,0.260208140549669,0.339905373815086,0.422951525606732,0.51357610157918,0.616774933184249,0.752466485424747,1.47036209757875,1.39306997329587,1.31186250035653,1.22243511038868,1.1187227782626,0.966934716791733,,-0.69%,,,-0.13%
205,5.73311525154598E-11,4.57235308839712E-10,3.6400083333894E-09,2.89346070306321E-08,2.30666538046349E-07,1.82846577709853E-06,5.34329776730777E-11,4.27919791346828E-10,3.4246338924393E-09,2.73564730412859E-08,2.19917071791042E-07,1.79780005676503E-06,0.26001051629634,0.339696508099833,0.422730561652083,0.513322092975229,0.616471548461403,0.752030318322292,1.47055953741248,1.39327644794842,1.31207968441759,1.22268662462617,1.11903944641314,0.967459916541605,,-0.73%,,,-0.16%
204,5.70154787949844E-11,4.5476246716837E-10,3.61945500218104E-09,2.87645587680417E-08,2.29261363680753E-07,1.81786691480716E-06,5.31329141817833E-11,4.2554267750767E-10,3.40525032187185E-09,2.71956973975346E-08,2.18564576116498E-07,1.78717900504005E-06,0.259800385058489,0.339484847914858,0.422495851374512,0.513049258019241,0.616140649351033,0.751542320353967,1.47075945954241,1.39347926379513,1.31231035698327,1.22295596360631,1.11938050774591,0.968046933403214,,-0.79%,,,-0.26%
203,5.67274353839546E-11,4.52512927123287E-10,3.60168054980039E-09,2.86216585624048E-08,2.28145872836064E-07,1.80999632170856E-06,5.28687656320751E-11,4.2347005266648E-10,3.38846697482381E-09,2.70603875031763E-08,2.17502727905654E-07,1.77934865101802E-06,0.25961816708185,0.339291721727742,0.422291843465516,0.51281880576175,0.615876685034551,0.751178692015889,1.47093859644198,1.39367007641446,1.31251109825181,1.22318380012412,1.11965391569857,0.96848326944292,,-0.81%,,,-0.20%
202,5.6425385161222E-11,4.49980334396432E-10,3.58113070747064E-09,2.84520051232742E-08,2.26741193929288E-07,1.79939625829084E-06,5.25817045278867E-11,4.21091397196867E-10,3.36908374827191E-09,2.68996219470254E-08,2.16147848649951E-07,1.7686705437367E-06,0.259405438657025,0.339073164850115,0.422054775758831,0.512543800427295,0.615542656845406,0.750687319014948,1.47114134448647,1.393876428079,1.31274411786882,1.22345589129193,1.11999858840805,0.969076196871394,,-0.85%,,,-0.30%
